Verse	Annotation
Sor .i. des lor sa lance estrosse,	w.S.w.w.w.Se.wSe
et les estoiles tire a tire ;	w.w.wSw.Se.w.Se
mes bien se tint qu'il ne cheï.	w.w.w.S.w.w.wS
mout feroiz que frans et que sages	w.wS.w.S.w.w.Se
et bien serviz a son creante.	w.w.wS.w.w.wSe
mes cil qui soner le porra,	w.w.w.wS.w.wS
Certainnemant poez savoir	wwwS.wS.wS
nus hom n'avoit si boene grace,	w.S.wS.w.Sw.Se
la salue ; cele ne pot	w.wSw.ww.w.S
et li chevax tant s'esforça	w.w.wS.w.wwS
D'un sanblant et d'une color.	w.wS.w.ww.wS
Mes au cuer me grieve formant.	w.w.S.w.Sw.wS
Un seul d'aus eschaper n'an lessent	w.S.w.wwS.w.Se
Mes ausi sont an grant enui 	w.wS.w.w.S.wS
Si li ont conté an plorant	w.w.w.wS.w.wS
Et la turtre chacier le bievre,	w.w.Sw.wS.w.Se
Einz que de vos aie merci.	w.w.w.w.ww.wS
Don je vi les lermes cheoir.	w.w.S.w.Sw.wS
Por cui je sui ça revenuz.	w.w.w.w.w.wwS
N'ot onques de trestoz les homes	w.ww.w.ww.w.Se
toz les vices et toz les max 	w.w.Sw.w.w.w.S
que del bois furent descovert, 	w.w.S.Sw.wwS
Sa granz terre, ses granz tresors, 	w.w.Sw.w.w.wS
a cel chastel, se tu i vas. 	w.w.wS.w.w.w.S
Lors fu li chevaliers iriez, 	w.w.w.wwS.wS
de sa lance et fist grant enui,	w.w.Se.w.w.S.wS
Cil qui vient a bien retenu 	w.w.S.w.w.wwS
Li drap que ma mere me fist, 	w.S.w.w.Sw.w.S
ne toz les cos par un et un, 	w.w.w.S.w.S.w.S
si les leissa lor duel feisant. 	w.w.wS.w.S.wS
Ensi descoloree et tainte 	ww.wwwSe.w.Se
Tantost vet la lame seisir 	ww.S.w.Sw.wS
Qui panse et dit an son corage 	w.Se.w.S.w.w.wSe
Come avugle et come eschacier 	we.wSe.w.we.wwS
- Jel verrai ? - Voire. - Or i parra ! 	w.wS.S.we.w.wS
Et por soe ja la tenoit ; 	w.w.ww.w.w.wS
Et gardez, quant il iert venuz, 	w.wS.w.w.w.wS
Onques deviseor n'i ot 	ww.wwwS.w.w
Que sa lance a estros peçoie. 	w.w.Se.w.wS.wSe
Et a la pierre de l'anel, 	w.w.w.Sw.w.wS
- Sire, de vostre terre somes. 	Sw.w.ww.Sw.Se
Qui puis vint de ce mariage,	w.w.S.w.w.wwSe
Poissans et larges et cortois	wS.w.Sw.w.wS
Dont Pandïons moult liez se fist	w.wwS.w.S.w.S
A roi ? Mes a tirant felon	w.S.w.w.wS.wS
Ithis ot non. Ce fu deulz grans	wS.w.S.w.w.S.S
Ne gaires ne sejorneroit	w.ww.w.wwwS
Quar moult en fust grans maulz remez	w.w.w.w.S.S.wS
Si le saluent cil et cele	w.w.wSw.w.w.we
Plus que samit vermeil en graine	w.w.wS.wS.w.Se
Que tant bele riens ne vit nulz	w.w.Sw.w.w.S.w
Que ja n'en aiez au cuer ire	w.w.w.wS.w.S.Se
Or est Amors tornee a fable	w.w.wS.wSe.w.Se
De ronces et d'espines plainne	w.Sw.w.wSw.Se
Ne l'oi mie bien salué,	w.w.ww.w.wwS
Cil qui leissus erent anclos	w.w.wS.ww.wS
Et se nos guerpirent la place,	w.w.w.wSw.w.Se
An guerredon et an servise,	w.wwS.w.w.wSe
Et demenoient si grant bruit	w.wwSw.w.S.S
Les sorcix granz et le vis plat	w.wS.S.w.w.S.S
Vestuz de robe si estrange	wS.w.Sw.w.wSe
CRESTIIENS se veut entremettre	wwS.w.S.wwSe
Sans nient oster et sans nient metre,	w.w.wS.w.w.w.Se
De conter un conte par rime,	w.wS.w.Sw.w.Se
U consonant u lionime,	w.wwS.w.wwSe
Ausi com par ci le me taille	ww.w.w.w.w.w.Se
Mais que par le conte s'en aille	w.w.w.w.Sw.w.Se
Ja autre conte ne prendra	w.ww.Sw.w.wS
La plus droite voie tenra	w.w.Sw.Sw.wS
Que il onques porra tenir	w.w.ww.wS.wS
Si que tost puist a fin venir	w.w.w.S.w.S.wS
Come ele est orendroit assise,	we.we.w.wwS.wSe
La ioste uirent tel troi mile :	w.ww.Sw.w.S.Se
Mais sachies refaire le doĩ	w.wS.wSw.w.S
Un baile de mur ot entour	w.Sw.w.S.w.wS
Quant sa maionie a deguerpie	w.w.wSe.w.wwSe
Dusques atant que ie saurai	ww.ww.w.w.wS
Chies le Roi Pescheor deus fois.	w.w.S.wwS.S.S
Et molt par s en esmerveillerent,	w.w.w.w.wwwSe
Une pieche deschire et ront	ww.Sw.wSe.w.S
Et no chastel metront en cendre.	w.w.wS.wS.w.Se
Lors s'escrie, ses paumes bat,	w.wSw.w.Sw.S
Qu'ele avoit fait apparillier,	we.ww.S.wwwS
Bielement li leva en haut,	wwS.w.wS.w.S
L'a si féu dalés l'oie,	w.w.wS.ww.wSe
Ha! douche amie deboinaire,	S.Se.wSw.wwSe
Quant Euriaus l'ot, si se saigne;	w.wwS.S.w.w.Se
L'avoient si bien acesmé.	www.w.w.wwS
Ja fust Gerars pris et desfais,	w.w.wS.S.w.wS
Ses linages apriés s'avoie,	w.wSw.ww.wSe
Ensi m'a fait ceste partie..	ww.w.S.ww.wSe
Car auques estoit or vangiee	w.ww.ww.w.wSe
Que volantiers a lui parlasse	w.www.w.S.wSe
Un cri, et celle part s'an va.	w.S.w.ww.S.w.S
Sus celle branche an tel maniere;	w.ww.Se.w.w.wSe
Prant dou braichet a demander	S.w.wS.w.wwS
Ne la voil pas de moi sevrer,	w.w.S.w.w.S.wS
J'aloie au grant Mont Doleroux.	wSe.w.S.S.wwS
Qu'il fist les croiz et le piller	w.S.w.S.w.w.wS
-Dame, fait elle, volantiers	Sw.S.ww.www
A lionciaus blans conme nois.	w.wwS.S.ww.S
